figure_order,pathway,cell_type,disease,NES,FDR,FDR05
17,Citric acid cycle (TCA cycle),OPC,PD,-1.4471834585610588,0.3116069134563751,False
17,Citric acid cycle (TCA cycle),Oligo,AD,-1.1686147156014934,0.9022826332914388,False
17,Citric acid cycle (TCA cycle),Oligo,PD,-1.8361405607397927,0.0424225032919869,True
18,Amino acid transport across the plasma membrane,Astro,AD,1.7658970278527306,0.0747542470085793,False
18,Amino acid transport across the plasma membrane,Astro,PD,1.1960952901191289,0.5969444174821494,False
18,Amino acid transport across the plasma membrane,Micro,AD,1.0465219092247393,0.8952736428529879,False
18,Amino acid transport across the plasma membrane,Micro,PD,1.367279425936108,0.2638440248325959,False
18,Amino acid transport across the plasma membrane,OPC,AD,-1.212017470595955,0.453981706687116,False
18,Amino acid transport across the plasma membrane,OPC,PD,-1.455937553125333,0.3055682759414174,False
18,Amino acid transport across the plasma membrane,Oligo,AD,2.199773565788716,0.0059274188974055,True
18,Amino acid transport across the plasma membrane,Oligo,PD,1.4007476625592648,0.2550647467761873,False
19,Signaling by TGF-beta Receptor Complex,Astro,AD,1.2227062760653098,0.4195044960824569,False
19,Signaling by TGF-beta Receptor Complex,Astro,PD,0.8758242443450384,0.9349026520891328,False
19,Signaling by TGF-beta Receptor Complex,Micro,AD,1.495990955152257,0.4925600237982038,False
19,Signaling by TGF-beta Receptor Complex,Micro,PD,1.3750882715490114,0.2614817669295896,False
19,Signaling by TGF-beta Receptor Complex,OPC,AD,0.9930621521595706,0.8976218666347147,False
19,Signaling by TGF-beta Receptor Complex,OPC,PD,1.166689889025059,0.5828295276622898,False
19,Signaling by TGF-beta Receptor Complex,Oligo,AD,1.5869468610975774,0.6249870485424411,False
19,Signaling by TGF-beta Receptor Complex,Oligo,PD,1.5273763444904644,0.1685833044030959,False
20,Translation,Astro,AD,-1.7715914121009853,0.0751377488555354,False
20,Translation,Astro,PD,-2.369371713015308,6.407949063805223e-05,True
20,Translation,Micro,AD,-1.479205853190171,0.4580791873722135,False
20,Translation,Micro,PD,-1.326928702786439,0.2112857430146866,False
20,Translation,OPC,AD,-1.6519541869704824,0.1329539055955241,False
20,Translation,OPC,PD,-0.6292771651046136,0.9817261208707548,False
20,Translation,Oligo,AD,-1.033387027235384,1.0,False
20,Translation,Oligo,PD,-1.670771259696064,0.0991391598481181,False
21,Diseases associated with the TLR signaling cascade,Astro,AD,1.360800661775194,0.2700010796813366,False
21,Diseases associated with the TLR signaling cascade,Astro,PD,1.2199020247647967,0.6055527845466545,False
21,Diseases associated with the TLR signaling cascade,Micro,AD,-1.1315700487456162,0.8807563031243558,False
21,Diseases associated with the TLR signaling cascade,Micro,PD,-1.3207330006705902,0.2166036840929619,False
21,Diseases associated with the TLR signaling cascade,OPC,AD,1.0394751031536218,0.8638995586939426,False
21,Diseases associated with the TLR signaling cascade,OPC,PD,1.2002326471665337,0.5440309935179717,False
