candidate_rank,gene_symbol,priority_group,best_evidence_class,best_evidence_rank,n_cell_types_present,cell_types,celltype_evidence_signature,n_class_A,n_class_B,n_class_C,n_class_D,n_class_E,n_class_F,n_best_class_celltypes,n_brain_AD_PD_concordant_celltypes,brain_concordant_all_present_celltypes,median_AD_brain_log2FC,median_PD_brain_log2FC,median_conservative_brain_abs_effect,max_conservative_brain_abs_effect,retina_expression,retinal_donors_detected,AD_retina_log2FC,AD_retina_pvalue,AD_retina_FDR,AD_retina_FDR_support_any_celltype,n_AD_retina_same_direction_celltypes,PD_AH_log2RFU_diff,PD_AH_pvalue,PD_AH_FDR,PD_aqueous_FDR_support_any_celltype,n_PD_aqueous_same_direction_celltypes,n_multimodal_directional_celltypes,n_multimodal_nominal_celltypes,n_multimodal_FDR_celltypes
2286,FAM8A1,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.25846510379526116,0.0839638447512158,0.07050178286903365,0.1254534182323341,True,7,-0.1773496698709138,0.8637638596840737,0.9544013913328014,False,1,,,,False,0,0,0,0
2287,CEP164,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.3607972651724594,-0.07000618010385004,0.07000618010385004,0.1226329827305912,True,7,,,,False,0,,,,False,0,0,0,0
2288,DUT,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.1114823966986751,0.0603341436190928,0.0699837192201003,0.1869848488448345,True,7,-0.4139171605772773,0.4666937731036492,0.8768494707880053,False,1,1.1188687569694888,0.0362503078663073,0.084840520123422,False,3,0,0,0
2289,HPS3,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.1248617962959551,0.0357675368699157,0.06984854651872215,0.1514303340392727,True,7,,,,False,0,,,,False,0,0,0,0
2290,SFXN2,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.32223696541156627,-0.06974552517733984,0.06974552517733984,0.2397741763288239,True,7,,,,False,0,,,,False,0,0,0,0
2291,CSTF3,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.23672138184614105,0.06961232466438666,0.06961232466438666,0.2709502777950406,True,7,0.1170035876371571,0.8668981401258687,0.9544109848596464,False,4,,,,False,0,0,0,0
2292,CNOT2,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.0819497310882521,0.1078972579457129,0.069509427346899,0.142622099195174,True,7,,,,False,0,,,,False,0,0,0,0
2293,ATP5S,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.11160632895478259,-0.06950362165555846,0.06950362165555846,0.1273867924541472,True,7,,,,False,0,,,,False,0,0,0,0
2294,ZW10,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.1102465190123611,-0.06843173593743165,0.0693594034262944,0.1083240088004945,True,7,,,,False,0,,,,False,0,0,0,0
2295,SIN3A,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.10005546971932135,-0.06932811806041665,0.06932811806041665,0.1259262192530199,True,7,-0.4214538078636671,0.2631185615953702,0.8768494707880053,False,4,,,,False,0,0,0,0
2296,DPYSL4,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,-0.1287626825328524,-0.19675891892774433,0.0690037233844232,0.2104315808388548,True,7,-0.8216628526803831,0.163597951021101,0.8768494707880053,False,4,,,,False,0,0,0,0
2297,ERBB4,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.10508532197086225,0.1735903241378082,0.06888567265456705,0.219894360309409,True,7,,,,False,0,-0.3826338647941218,0.5033972168595837,0.5722554420664112,False,0,0,0,0
2298,YTHDC2,P6_brain_plus_retina_expression,E_brain_plus_retina_expression,5,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:E | OPC:E | Oligo:E,0,0,0,0,4,0,4,4,True,0.0333489848149514,0.025469272493658546,0.06875587673958565,0.1261760570425331,True,7,,,,False,0,,,,False,0,0,0,0
